track_id,track_name,artist(s)_name,artist_count,released_year,in_spotify_charts,streams,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,total_playlists,bpm_category,danceability_%_category,valence_%_category,energy_%_category,acousticness_%_category,instrumentalness_%_category,liveness_%_category,speechiness_%_category
3670203,BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,35,54266102,80,3,130,77,84,89,17,0,43,5,1104,medium,medium,high,high,medium,low,high,medium
8788368,Heat Waves,Glass Animals,1,2020,63,2557975762,144,28,81,76,53,53,44,0,9,9,23636,low,medium,medium,low,high,low,low,medium
3183051,golden hour,JVKE,1,2022,36,751134527,58,18,94,51,14,59,65,18,25,3,4690,low,low,low,medium,high,high,high,low
8895699,Sweater Weather,The Neighbourhood,1,2012,61,2282771485,87,1,124,61,41,81,5,2,10,3,17635,medium,medium,medium,high,low,high,low,low
4431554,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,45,1356565093,65,14,128,62,55,78,1,3,23,4,8764,medium,medium,medium,high,low,high,medium,low
3126367,Viva La Vida,Coldplay,1,2008,62,1592909789,0,9,138,49,42,62,9,0,11,3,38226,medium,low,medium,medium,medium,low,medium,low
5898111,Here With Me,d4vd,1,2022,23,635412045,85,1,132,58,27,48,50,0,12,3,3408,medium,medium,low,low,high,low,medium,low
2302386,Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,42,1230675890,108,26,131,71,24,47,1,0,27,9,9123,medium,medium,low,low,low,low,high,medium
2415106,Yandel 150,"Yandel, Feid",2,2022,38,585695368,74,14,168,78,58,73,5,0,10,7,3745,high,high,medium,medium,low,low,low,medium
4847849,CORAZ��N VA,Maria Becerra,1,2023,20,43857627,16,4,98,68,40,79,33,0,30,6,400,low,medium,medium,high,medium,low,high,medium
8502696,Riptide,Vance Joy,1,1975,55,2009094673,65,1,102,48,50,73,43,0,15,4,32426,medium,low,medium,medium,high,low,medium,low
7680579,Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,30,600976848,96,0,101,34,32,57,78,0,20,3,2921,medium,low,low,medium,high,low,medium,low
2162220,Novidade na ��,"Mc Livinho, DJ Matt D",2,2023,9,39709092,6,2,130,63,36,34,76,0,35,9,301,medium,medium,medium,low,high,low,high,medium
6063105,Back To December (Taylor's Version),Taylor Swift,1,2023,17,39228929,72,0,142,50,20,64,1,0,12,3,160,high,low,low,medium,low,low,medium,low
2023156,STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,36,2665343922,99,31,170,59,48,76,4,0,10,5,18340,high,medium,medium,medium,low,low,low,medium
